subtype,donor,section,pc,morans_I,CPS
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,18,0.006796476547817167,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,19,0.04950344957755802,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.04,20,0.1188648197156752,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,1,0.0004699462873058936,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,2,0.11954905270248223,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,3,0.04946798627441103,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,4,0.09088539176655461,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,5,0.09074468780434848,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,6,0.08432606591744458,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,7,0.07602022883180341,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,8,0.07797937814944877,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,9,0.022671638082512154,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,10,-0.01455160707088868,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,11,0.030305508229622895,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,12,0.05196019869849448,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,13,0.032113182046580056,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,14,-0.015034021297488306,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,15,0.0043285429983242266,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,16,0.030779932100152344,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,17,0.1474918873845149,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,18,0.03832526718860792,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,19,0.03367900569947203,0.838095749
Astrocyte,H21.33.006,H21.33.006.Cx28.MTG.02.007.1.01.09.02,20,0.1640785740051439,0.838095749
Astrocyte,H21.33.019,H21.33.019.Cx30.MTG.02.007.5.0,1,0.025034903463233196,0.517476286
