subtype,regulator,d_edges,I_R,E_perm,p_perm,I_R_eqsec,p_eqsec,n_eqsec,n_active,n_cells_used,n_sections,I_s_min,I_s_median,I_s_max,q_fdr,q_eqsec
Astrocyte,KIAA1217,499,0.0219999567483053,0.0217107487530629,0.194,0.0173844510716577,0.435,17,1720,1720,17,-0.0092534239516757,0.015963959284089,0.0362457943111091,0.33662717770034845,0.6136827195467423
Astrocyte,ADAMTS17,498,0.0219971498687482,0.0217391132727168,0.244,0.0172522316034245,0.537,17,1720,1720,17,-0.0100075180206875,0.0159082639565791,0.0353322436545114,0.38575238095238096,0.7112393617021278
Astrocyte,LINC01331,499,0.0219875135340954,0.021726066888415,0.239,0.0175578238532346,0.3,17,1720,1720,17,-0.0075130083659372,0.0166368716614509,0.0363586362633271,0.3802619808306709,0.5131418918918919
Astrocyte,NHSL1,499,0.0219837130191615,0.0217056756651858,0.216,0.0171875900923765,0.584,17,1720,1720,17,-0.0093560443574546,0.015300465219892,0.0353978517327926,0.3538421052631579,0.7325743073047859
Astrocyte,AC096637.1,499,0.0219798647749457,0.0217200934680594,0.217,0.0176491096028906,0.182,17,1720,1720,17,-0.0046014120688849,0.0169500361761517,0.0361368690591961,0.35431475409836066,0.40643946188340807
Astrocyte,SLC5A11,499,0.0219737591689285,0.0216821454226433,0.215,0.0176115851742175,0.253,17,1720,1720,17,-0.0049490628903599,0.0181079300147372,0.0344951769133256,0.35336633663366335,0.47366165413533834
Astrocyte,CCBE1,499,0.0219468263243492,0.021650430194648,0.199,0.0177572225732152,0.144,17,1720,1720,17,-0.0060932938110432,0.0175331720005931,0.0372912583539741,0.33708163265306124,0.38515270935960594
Astrocyte,AC002429.2,499,0.0219419184605274,0.0216163675900258,0.168,0.0173715275226697,0.4,17,1717,1720,17,-0.0089745466263602,0.0176726829109916,0.0386210849679534,0.31171111111111116,0.5928571428571429
Astrocyte,AC100849.1,499,0.0219342655660464,0.0216673844904416,0.275,0.0175267848186918,0.362,17,1720,1720,17,-0.0074307316670927,0.0160043338997832,0.0351642467372744,0.4226851851851852,0.5702649842271293
Astrocyte,PCDH15,499,0.0219015637162594,0.0218694910778312,0.493,0.0171799058638581,0.527,17,1324,1720,17,-0.0125580337012962,0.0177204727543771,0.038595345910072,0.6311413881748072,0.7055
Astrocyte,LINC01515,499,0.0218745992282092,0.0216995426461384,0.314,0.017458718032508,0.374,17,1720,1720,17,-0.0069270356333822,0.0158257576901241,0.0366616351629764,0.46127433628318587,0.5742702702702702
Astrocyte,AC006305.1,499,0.0218740166788178,0.0216898238087756,0.312,0.0174286706866284,0.384,17,1720,1720,17,-0.0058248712472131,0.0158573566179799,0.0364501030263934,0.45969230769230773,0.5742702702702702
Astrocyte,AC064875.1,499,0.0218719864314276,0.0217376961260694,0.358,0.0172195866972723,0.554,17,1720,1720,17,-0.0104819006049265,0.0166994087171497,0.0354472391814274,0.5079316239316239,0.714186046511628
Astrocyte,LINC01416,499,0.0218678118089549,0.0216739933706893,0.299,0.0173624223641276,0.438,17,1720,1720,17,-0.0059217654482357,0.0155684597211819,0.0361433394355734,0.44581437125748496,0.6141067415730338
Astrocyte,MYO16,499,0.021861566979264,0.0216878743844543,0.318,0.0174844437694268,0.348,17,1720,1720,17,-0.0094356957927665,0.0174663169649704,0.0370509358190171,0.4630526315789474,0.5519235668789809
Astrocyte,CDC14A,496,0.0218506852670225,0.0217493095330085,0.389,0.0173599574160983,0.425,17,1720,1720,17,-0.0078666404078333,0.014898570185556,0.038228511851647,0.5381166666666667,0.6117052023121388
Astrocyte,CASC17,490,0.0218468393197693,0.0219809529820602,0.55,0.0155702252284443,0.763,17,1643,1720,17,-0.0474886123424881,0.0166562955366678,0.0338846104494196,0.677970297029703,0.838794701986755
Astrocyte,ETNPPL,495,0.0218356901183607,0.0217131533460065,0.365,0.0175886385426233,0.236,17,1720,1720,17,-0.0040417657558556,0.0170831269972236,0.0360696101196524,0.5120281690140844,0.4573073929961089
Astrocyte,AC005909.2,497,0.0218258690071856,0.021468430157984,0.46,0.0157209983593773,0.552,17,187,1720,17,-0.0327708893532626,0.0104377974316295,0.1037017978404722,0.606031746031746,0.714186046511628
Astrocyte,CXCL10,281,0.0218121590301909,0.0118017542603557,0.257,0.0118849272187546,0.53,9,20,1720,17,-0.0271317829457371,-0.0019841269841296,0.0870184465796977,0.4037413249211357,0.7076139410187667
Astrocyte,SPON1,498,0.0218089813720383,0.0217101177356053,0.377,0.0170268081322719,0.733,17,1720,1720,17,-0.0065894304823703,0.015131484859777,0.0361923291307024,0.5258991596638656,0.8288707482993197
Astrocyte,SOX6,499,0.0218074423743193,0.0216465851638809,0.318,0.0174852501299319,0.308,17,1720,1720,17,-0.0087722031389111,0.0186539268843605,0.0395026214225986,0.4630526315789474,0.5164444444444444
Astrocyte,MIR646HG,499,0.0218067449506284,0.0217608147122554,0.454,0.017255315601865,0.543,17,1710,1720,17,-0.009191299248586,0.0161984628649915,0.0373836283078405,0.5997135278514589,0.7134934036939315
Astrocyte,PCSK5,498,0.0217979330650624,0.021778035362586,0.479,0.017018093789932,0.718,17,1720,1720,17,-0.00501210252318,0.0144525732227813,0.0374175957106939,0.6231450777202072,0.8163561643835615
Astrocyte,GDNF-AS1,499,0.0217650632726106,0.0217265961753209,0.446,0.0172104960421852,0.555,17,1720,1720,17,-0.0064518959856357,0.0163765564151745,0.036025894514459,0.5952032085561497,0.714186046511628
Astrocyte,SGCZ,498,0.0217593772509832,0.0217844300426085,0.502,0.017767367645009,0.302,17,1653,1720,17,-0.0001843918494277,0.0178101876477814,0.0330573988104649,0.6361221374045801,0.5131418918918919
Astrocyte,AC104574.2,499,0.0217464536974018,0.021743812041915,0.487,0.0171564967967319,0.593,17,1720,1720,17,-0.003867038983742,0.0151619163852278,0.0347365657652255,0.6263505154639175,0.7419949748743717
Astrocyte,SNTB1,499,0.0217457170055673,0.0217424405031667,0.506,0.0174165550101336,0.37,17,1705,1720,17,-0.0070288697245069,0.0153573639583344,0.036251119182495,0.6392050632911392,0.5742702702702702
Astrocyte,NKAIN3,499,0.0217231218013861,0.02165195266022,0.413,0.0174508964760323,0.369,17,1720,1720,17,-0.0021518972829299,0.0149495103224614,0.0346572846979464,0.5650384615384615,0.5742702702702702
Astrocyte,CST3,499,0.0217151473158792,0.0217168264194552,0.499,0.0171455762328989,0.604,17,1720,1720,17,-0.0124173864182806,0.0175583966157238,0.0376138483502977,0.6339336734693878,0.7482388059701491
Astrocyte,CPED1,495,0.0216943489916293,0.0214100868108458,0.434,0.0162509838480598,0.675,17,1333,1720,17,-0.0196596608399077,0.0148072527807165,0.0378401214556685,0.5839083557951482,0.7972676056338028
Astrocyte,AL138694.1,499,0.0216667186773547,0.0242401024746079,0.608,0.0230429850536906,0.424,14,117,1720,17,-0.0263724508551426,0.0193654481827755,0.0646716595289919,0.7192019002375297,0.6117052023121388
Astrocyte,SLC39A12,494,0.0216376403777133,0.0217289775442397,0.578,0.0168011930326248,0.757,17,1710,1720,17,-0.01024582913701,0.0154896322125564,0.039039928281051,0.6986504854368932,0.8377466666666666
Astrocyte,CHST9,499,0.0216327677372894,0.0218018755758499,0.638,0.0173632256815944,0.423,17,1697,1720,17,-0.0048654024997897,0.0167523397200801,0.0347018776304003,0.7452587412587413,0.6117052023121388
Astrocyte,MYBPC1,497,0.0216270575605356,0.0217464164870837,0.641,0.0167862669032218,0.849,17,1717,1720,17,-0.010868517394867,0.0148167077983184,0.0378323011336166,0.7452587412587413,0.8970317124735729
Astrocyte,TPD52L1,499,0.0216192678199517,0.0217329704721666,0.599,0.0169611731886078,0.762,17,1720,1720,17,-0.0077958886686612,0.015168690503816,0.0375290511488827,0.7136411483253587,0.838794701986755
Astrocyte,EGFR,495,0.0216095956783787,0.0217798067594032,0.672,0.0169927491275053,0.754,17,1720,1720,17,-0.0067885225425862,0.0143510630782417,0.0359298058226753,0.7673727272727273,0.8373942093541202
Astrocyte,GRAMD2B,497,0.0215982979805494,0.0217326280795054,0.641,0.0168402147559916,0.83,17,1720,1720,17,-0.0066984626010247,0.0157259759380242,0.0360533398512221,0.7452587412587413,0.8869957081545063
Astrocyte,CHI3L1,499,0.0215756226265226,0.0218675750453823,0.777,0.0166037188062755,0.921,17,1698,1720,17,-0.0084747011911915,0.0161225046287791,0.0381678965984322,0.8411869565217391,0.9476404958677687
Astrocyte,ZNF385D,498,0.0215754921021842,0.0216734453988666,0.507,0.0174510439086942,0.461,17,1520,1720,17,-0.0131895834852278,0.019683025204878,0.0392177634315764,0.6392050632911392,0.6377166666666667
Astrocyte,ALK,499,0.0215602897164036,0.0217481852259439,0.683,0.0172366883179472,0.555,17,1720,1720,17,-0.0077609664766735,0.0166550035267879,0.0354887942934665,0.7695339366515838,0.714186046511628
Astrocyte,LAMA2,499,0.0215562971484065,0.0219800118194565,0.577,0.0184811169727979,0.335,17,1428,1720,17,-0.0007669268789179,0.0217325212533282,0.032327133036284,0.6986504854368932,0.5469836065573771
Astrocyte,ZFPM2-AS1,498,0.0214958401022845,0.0216109734808024,0.529,0.0168117288058954,0.606,17,1411,1720,17,-0.001382948867238,0.016668657640473,0.0369779983501369,0.6569625935162094,0.7488535980148884
Astrocyte,AL445259.1,473,0.0214482717628368,0.0216920642899734,0.524,0.0147586188553234,0.839,17,1398,1720,17,-0.0367100026847298,0.014385912385442,0.0436684616513224,0.6540150375939849,0.8927820512820512
Astrocyte,KYNU,487,0.0214356325397835,0.0228456678622524,0.559,0.0170532832043708,0.578,13,108,1720,17,-0.0411473914636288,0.0231255338503927,0.0702741351942856,0.6823088235294118,0.7293939393939394
Astrocyte,AC008571.2,498,0.0213908425116941,0.0211744471637576,0.482,0.0179537602286612,0.562,16,308,1720,17,-0.0297228781449049,0.0123521004154949,0.0752587334001562,0.6231450777202072,0.7189076923076922
Astrocyte,CFH,485,0.0212648469692246,0.0201139183111144,0.435,0.0109540989327943,0.746,15,71,1720,17,-0.0305285412881547,-0.0003695564113296,0.0697290008527916,0.5839083557951482,0.8359685393258426
Astrocyte,AC018680.1,496,0.0212647089927546,0.024227309354095,0.656,0.0127927737712112,0.696,17,278,1720,17,-0.0381618208308825,0.0210909041495939,0.0705124012414554,0.7596221198156683,0.8041948955916474
Astrocyte,NPNT,493,0.0212443410306302,0.0217482177476345,0.68,0.0167462194350205,0.747,17,1609,1720,17,-0.0062069403681344,0.0151725323653266,0.0330757510042148,0.7678911564625851,0.8359685393258426
Astrocyte,AC079352.1,498,0.0211473624233821,0.0217442382423114,0.782,0.0154761881061092,0.919,17,1688,1720,17,-0.0241055600796111,0.0150970353329695,0.034756962099236,0.8447635574837311,0.9475403726708075
Astrocyte,MS4A6A,464,0.0211410241948063,0.0187177080204933,0.43,0.0083432645639484,0.747,9,25,1720,17,-0.0387596899224812,-0.0114942528735663,0.0627242813881495,0.5816747967479675,0.8359685393258426
Astrocyte,AC109466.1,499,0.021136155416888,0.0211197394209461,0.48,0.0153025271557656,0.678,17,1093,1720,17,-0.028484354621504,0.0174574488826029,0.0464675539217296,0.6231450777202072,0.7972676056338028
Astrocyte,AC105402.3,499,0.0210729166272442,0.0189749045834972,0.278,0.0208244137316511,0.177,17,862,1720,17,-0.0047182964543698,0.020168128162432,0.0509731979572117,0.42467484662576693,0.4024931506849315
Astrocyte,AC004704.1,490,0.0209357926408543,0.0187505727808695,0.392,0.0193768658418958,0.371,17,61,1720,17,-0.0482294743772568,0.0075361432968188,0.1405797101449277,0.5407645429362881,0.5742702702702702
Astrocyte,LINC01435,499,0.0208650399298635,0.0214082099417235,0.519,0.0178134987359131,0.479,17,467,1720,17,-0.0172207019558676,0.0216899654135461,0.0532209078990394,0.6526818181818181,0.6553351648351649
Astrocyte,AC011246.1,499,0.0208041803793044,0.0205700290252207,0.481,0.0225309809715556,0.155,17,770,1720,17,-0.0164913543103306,0.0240946989952678,0.0697929305585223,0.6231450777202072,0.38515270935960594
Astrocyte,AL353072.2,496,0.0207510354311689,0.0197439108720351,0.453,0.022935866735442,0.375,7,10,1720,17,-0.0327146897885973,-0.00432900432901,0.1571428571428559,0.5997135278514589,0.5742702702702702
Astrocyte,AC012494.1,497,0.0206753449086492,0.0219888679686841,0.567,0.0231136844406224,0.214,17,236,1720,17,-0.044454574137116,0.0174790937236423,0.1088794302177354,0.6903814180929095,0.43881147540983606
Astrocyte,LINC01931,498,0.0206092343816417,0.0211376209275281,0.548,0.0138849732136037,0.726,17,884,1720,17,-0.0347301457964258,0.0232702012798712,0.0482635850782992,0.6771811414392059,0.8235717539863325
Astrocyte,AC060765.2,499,0.0204343579739602,0.0217138357676167,0.689,0.0175848744824044,0.446,17,1277,1720,17,-0.0252946106813051,0.0170632667703548,0.0526228628095666,0.7710606741573033,0.6221512605042017
Astrocyte,AL110292.1,498,0.0203653333066474,0.0226684404473333,0.642,0.0160540767789458,0.563,17,525,1720,17,-0.0240579355129984,0.022355527878088,0.0373385788595718,0.7452587412587413,0.7189076923076922
Astrocyte,LINC01446,485,0.0203159036692355,0.0172763301332629,0.362,0.0209554043898627,0.344,17,70,1720,17,-0.034639384856231,0.0091645970787565,0.1519607843137228,0.5106968838526912,0.5519235668789809
Astrocyte,RELN,496,0.0202267483517133,0.0199779497084918,0.483,0.0196772831921026,0.326,17,574,1720,17,-0.033967681122187,0.0207348156786742,0.0720621007962589,0.6231450777202072,0.5374455445544555
Astrocyte,NPSR1,495,0.0200165932264482,0.0199473704346421,0.474,0.0156340978789218,0.554,17,193,1720,17,-0.0243545314295701,0.0101895156908729,0.0820420491472034,0.6195590551181103,0.714186046511628
Astrocyte,AC011586.2,495,0.0200121723674651,0.0224507858526332,0.595,0.0187832919732848,0.542,15,90,1720,17,-0.0301835995422492,0.0239475254157761,0.0622171835098386,0.7117697841726619,0.7134934036939315
Astrocyte,DISC1FP1,499,0.0199881542670527,0.0215313025782454,0.623,0.0131637202506949,0.763,17,747,1720,17,-0.0409550974840173,0.0094589695149656,0.0506331570333729,0.7351990521327014,0.838794701986755
Astrocyte,ADGRL4,498,0.0199639798603524,0.0207967304580053,0.552,0.0159152186609901,0.56,16,207,1720,17,-0.0370370531663621,0.0058734609182592,0.0972460508819537,0.6783103448275862,0.7187628865979383
Astrocyte,LINC02822,499,0.0198723177913994,0.0197291800723957,0.488,0.0129252433923821,0.796,17,734,1720,17,-0.03880109882462,0.0178754259684326,0.0531732803828941,0.6263505154639175,0.8617565217391304
Astrocyte,THEMIS,495,0.0198063787401074,0.0215808203470828,0.606,0.0225513243937909,0.25,17,215,1720,17,-0.0329986900099465,0.0322169132851282,0.0633973026168713,0.7192019002375297,0.47338403041825095
Astrocyte,MEPE,479,0.0196802842586532,0.0206547250216091,0.521,0.0102648306964157,0.779,12,76,1720,17,-0.0380255436591062,0.0035740635816588,0.0678005252959058,0.6535465994962217,0.8470349344978166
Astrocyte,LINC01470,498,0.0195390899224806,0.019024183663628,0.447,0.0233064488617806,0.15,17,451,1720,17,-0.0316237903848133,0.02485431925889,0.0700615179048736,0.5952032085561497,0.38515270935960594
Astrocyte,KLHL1,496,0.0194855782040341,0.0225162446910105,0.659,0.0268223110715055,0.167,17,191,1720,17,-0.0378787878787872,0.0151467133769484,0.1436781609195376,0.7596221198156683,0.3965118483412322
Astrocyte,AC129926.2,482,0.0194535669369968,0.013791599429232,0.355,0.0067008337108069,0.718,11,52,1720,17,-0.0235209508013164,-0.0035824276014557,0.0617483006662427,0.5051142857142857,0.8163561643835615
Astrocyte,LINC00326,499,0.0193715138552583,0.0193136511688113,0.497,0.0194507503589834,0.378,17,305,1720,17,-0.0243386428060215,0.0236646667091478,0.0778693898727281,0.6339336734693878,0.5742702702702702
Astrocyte,TAFA4,498,0.0192709437434899,0.0200766083170736,0.528,0.017286521159174,0.475,17,262,1720,17,-0.0401800551952332,0.0229746225448274,0.073904765271471,0.6569625935162094,0.6530247933884298
Astrocyte,SCIN,489,0.0190206710504348,0.0191634311054424,0.468,0.0218463892902269,0.439,11,20,1720,17,-0.0292232710179267,-0.0070921985815587,0.1436781609195376,0.6133263157894737,0.6141067415730338
Astrocyte,AC008568.1,499,0.018987155462691,0.0192664270692074,0.498,0.0292969766273832,0.095,17,111,1720,17,-0.0420728445857889,0.0222470036855678,0.1410988121187373,0.6339336734693878,0.3428260869565218
