subtype,regulator,I_R,d_edges,pc,frac,is_ad_pc
Oligodendrocyte,MS4A6A,0.0640633603346447,464,9,0.008391441777348518,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,10,0.06998590379953384,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,11,0.016471566632390022,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,12,0.04135210067033768,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,13,0.07066792249679565,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,14,0.04914407804608345,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,15,0.11535107344388962,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,16,0.07900409400463104,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,17,0.08970531821250916,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,18,0.1063694953918457,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,19,0.05560324341058731,0
Oligodendrocyte,MS4A6A,0.0640633603346447,464,20,0.061922766268253326,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,1,0.010098514147102833,1
Oligodendrocyte,CYSLTR2,0.057908839765168,460,2,0.035238295793533325,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,3,0.020147740840911865,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,4,0.06633510440587997,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,5,0.062163062393665314,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,6,0.018234970048069954,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,7,0.057347845286130905,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,8,0.07538993656635284,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,9,0.022225840017199516,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,10,0.03450248762965202,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,11,0.01908228173851967,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,12,0.06709251552820206,0
Oligodendrocyte,CYSLTR2,0.057908839765168,460,13,0.05981138348579407,0
